CONVENTION — table pair_rho_by_sport['mlb']; band = 'mlb:'+key in pair_rho_uncertainty (half-width). All base keys EXECUTED via legtypes.pair_key. ':same'/':opp' = shipped sgp.py semantics (':same' = prop player's team IS the ML/spread YES team; for batter-stat×player_ks ':opp' IS the facing case). Values keyed to the 2015-2025 window.
CONVENTION — ':rN' = Kalshi ticker line integer of a rung-keyed leg (leg settles YES iff stat/margin > N-0.5; props: N+; spread: wins by N+, e.g. A1's r1.5 = ticker 2 = :r2). Rung-keyed families: player_hit, player_hr, player_tb, player_hrr, spread. player_ks/total/moneyline/rfi legs NEVER carry rungs (self-median/season-median frames). When BOTH legs are rung-keyed families, suffixes CHAIN in pair_key leg order: 'player_hit|spread:same:r1:r2' = hit 1+ × own team wins by 2+. Lookup fallback: exact rung key → un-runged oriented key → plain key (fail-closed).
CONVENTION — frames: batter-prop cells are the all-PA batter-game frame (matches shipped ml|prop anchors) EXCEPT player_hrr|total:rN = STARTERS frame (consistent with shipped plain player_hrr|total=0.40 starters). PA-frame/era systematics are priced into the 0.04-0.08 band floors.
player_hit|spread:same:r1:r2 = +0.239 band 0.05 (A1)
player_hit|spread:same:r1:r3 = +0.249 band 0.05 (A1)
player_hit|spread:same:r1:r4 = +0.255 band 0.05 (A1)
player_hit|spread:same:r1:r5 = +0.256 band 0.05 (A1)
player_hit|spread:same:r2:r2 = +0.268 band 0.05 (A1)
player_hit|spread:same:r2:r3 = +0.285 band 0.05 (A1)
player_hit|spread:same:r2:r4 = +0.297 band 0.05 (A1)
player_hit|spread:same:r2:r5 = +0.304 band 0.05 (A1)
player_hit|spread:opp:r1:r2 = -0.194 band 0.05 (A1)
player_hit|spread:opp:r1:r3 = -0.172 band 0.05 (A1)
player_hit|spread:opp:r1:r4 = -0.160 band 0.05 (A1)
player_hit|spread:opp:r1:r5 = -0.150 band 0.05 (A1)
player_hit|spread:opp:r2:r2 = -0.223 band 0.05 (A1)
player_hit|spread:opp:r2:r3 = -0.203 band 0.05 (A1)
player_hit|spread:opp:r2:r4 = -0.189 band 0.05 (A1)
player_hit|spread:opp:r2:r5 = -0.178 band 0.05 (A1)
player_hr|spread:same = +0.241 band 0.05 (A1; FLAT across spread rungs, range 0.0026 — single un-runged oriented entry; band also covers the unmeasured hr 2+ rung ~+0.27)
player_hr|spread:opp:r1:r2 = -0.210 band 0.05 (A1)
player_hr|spread:opp:r1:r3 = -0.197 band 0.05 (A1)
player_hr|spread:opp:r1:r4 = -0.185 band 0.05 (A1)
player_hr|spread:opp:r1:r5 = -0.178 band 0.05 (A1)
